id,title,author,publisher,year,isbn,cover_image_url,annotation
30073,Анастасия Артемова: Лен исцеляющий и омолаживающий,Артемова Анастасия,Диля,2002,5-8174-0254-8,https://img3.labirint.ru/rc/9edfddae510f483f7f88448e850dded8/220x340/books4/30073/cover.jpg,"Лен - чистейшее из растений, один из самых лучших плодов земли, как писал римский писатель Апулей. Он дарит людям масло, тончайший батист, брюссельские и вологодские кружева, простынное полотно, скатерти, белье и одежду. Под льняными парусами ходили суда по морям и океанам, принося новые открытия. Лен лечит. О чудесных свойствах и возможностях использования льна читайте в этой книге."
30077,Анатолий Маловичко: Псориаз и другие вирусные заболевания кожи,Маловичко Анатолий Васильевич,Диля,2003,5-8174-0293-9,https://img3.labirint.ru/rc/34671ed137fb8b5be9994af4a17fd26c/220x340/books4/30077/cover.jpg,
30082,Уголовно- процессуальный кодекс РФ от 18.12.2001 г,,Диля,2002,5-88503-052-9,https://img4.labirint.ru/rc/0ad7db8b2ac51a1c21a79fd6feeccdc9/220x340/books4/30082/cover.jpg,
30086,Анатолий Маловичко: Очищение печени и желудочно-кишечного тракта,Маловичко Анатолий Васильевич,Диля,2004,5-8174-0287-4,https://img4.labirint.ru/rc/e31b71893bfee31874d7ccdcf28ca25c/220x340/books4/30086/cover.jpg?1280394613,"Рассказывается о работе и заболеваниях печени и желудочно-кишечного тракта, предлагаются эффективные способы очищения с целью профилактики заболеваний."
30087,Анастасия Артемова: Пшеница исцеляющая и омолаживающая,Артемова Анастасия,Диля,2001,5-8174-0230-0,https://img3.labirint.ru/rc/e5a4786a3488991413c5dcc4e9cc6f3e/220x340/books4/30087/cover.jpg,"Во все времена пшеница высоко ценилась людьми. Она была олицетворением живой энергии, кормилицей, врачевательницей. С урожаем пшеницы связывались лучшие надежды и ожидания. Из нее пекли душистый хлеб, варили каши, приготовляли различные напитки. Превосходный результат давали лечебные и косметические способы применения пшеницы. Накопленные веками знания о чудесных свойствах пшеницы дарит вам эта книга."
30093,Решения Конституционного Суда РФ 1997-1999 год,,Диля,2003,5-88503-081-2,https://img3.labirint.ru/rc/36bd02ba04c8ee6269ad7d22396eb046/220x340/books4/30093/cover.jpg,
30094,Решения Конституционного Суда РФ 1992-1996 год,,Диля,2003,5-88503-080-4,https://img4.labirint.ru/rc/2e5ba50e6a65cae69ade276fc2fe6971/220x340/books4/30094/cover.jpg,
30097,Эрнест Махитько: Соль и грязь - людям власть,Махитько Эрнест,Диля,1999,5-8174-0026-X,https://img3.labirint.ru/rc/2f90aa0d403f7c0494a63ed00993b37f/220x340/books4/30097/cover.jpg,
30102,Китайская кухня,,Диля,2001,5-8174-0226-2,https://img4.labirint.ru/rc/c5a635e703493d4d2205ce045beb300b/220x340/books4/30102/cover.jpg,"Искусство китайской кулинарии сочетает в себе совершенство цвета, аромата и вкуса. Необходимо знать множество особых секретов и обладать истинно восточным терпением, чтобы приготовить настоящее китайское блюдо. Зато наградой за труд станет изумление и благодарность ваших домашних и гостей."
30104,Японская кухня,Раимов С. С.,Диля,2001,5-8174-0201-7,https://img4.labirint.ru/rc/56c5e420a77a29f54b6a5765ae77cff3/220x340/books4/30104/cover.jpg?1563625539,"Япония - страна, где тонко чувствуют красоту. Наверное, поэтому Японская кухня - это настоящая поэма слияния человека с природой через любовно и бережно приготовленную пишу. Главный принцип японской кухни - не отнимать первозданного облика и вкуса у продуктов. Блюда узнаваемы и естественны, но при этом очень аппетитны.Эта книга щедро раскрывает перед вами задумчивую прелесть изысканных японских блюд, которые добавят вашему столу свежей простоты и тихой утонченности.Для широкого круга читателей."
30107,Индийская кухня,,Диля,2001,5-8174-0231-9,https://img3.labirint.ru/rc/705282665370b39bfdd1bf2410f52652/220x340/books4/30107/cover.jpg,"Индийская кухня чрезвычайно разнообразна, краски, аромат и вкус ее блюд невозможно передать словами. На любой вкус в этой кулинарии можно найти блюда из овощей или мяса, с самыми невероятными пряностями и приправами. Жгучие, пряные, освежающие - попробуйте их!"
30117,Е.М. Миронов: Корюшка,Миронов Е.М.,Диля,2003,5-8174-0330-7,https://img3.labirint.ru/rc/638655adbe0afb745598c1c6630004cb/220x340/books4/30117/cover.jpg,
30119,"Корсун, Захаров, Корсун: 1001 вопрос о фитотерапии. Растения - бальзам для души и тела",Корсун А. А.,Диля,1999,5-8174-0009-X,https://img3.labirint.ru/rc/0ef4778de7520ba12d74e80861bfd09b/220x340/books4/30119/cover.jpg,"В книге изложены ответы на ваши вопросы о целебных свойствах растений, применяемых при различных видах заболеваний и для оздоровления организма."
30127,Александр Драгункин: Классный самоучитель английского для начинающих и начинавших,Драгункин Александр Николаевич,Диля,2003,5-94366-004-1,https://img3.labirint.ru/rc/d292a2aaf9009504605ece3eb99cd4ba/220x340/books4/30127/cover.jpg?1280394613,"Система Александра Драгункина похожа на современную детально разработанную автомобильную карту, с помощью которой можно легко и комфортно проехать не только по своей стране, но и по чужой. Поэтому можно сказать, что и в данной книге автор предоставляет нам уникальнейший и эффективнейший путеводитель по английскому языку - изучая его, испытываешь настоящее интеллектуальное и эстетическое наслаждение. Путь, указанный Александром Драгункиным, понятен и доступен каждому, он по силам любому, вне зависимости от возраста и подготовки..."
30135,Людмила Серебрякова: Путь к преображению,Серебрякова Людмила Андреевна,Диля,2001,5-8174-0190-8,https://img3.labirint.ru/rc/43a33a9741f03b0c3293f5f29c318b52/220x340/books4/30135/cover.jpg,"Путь к преображению собственному лежит через постижение страданий и подвигов Господних во имя всего человечества. Новая книга Л. Серебряковой раскрывает перед читателем значение главных принципов, молитв и символов христианства. Книга окажет неоценимую помощь всем, стремящимся осмыслить свое назначение в жизни и наполнить ее любовью ко всему сущему в лице Господа."
30139,Людмила Серебрякова: Пульт управления здоровьем,Серебрякова Людмила Андреевна,Диля,2000,5-8174-0074-X,https://img3.labirint.ru/rc/89aa56a9a91ac99023c462002cc082a7/220x340/books4/30139/cover.jpg,"В книге рассказывается о строении энергетической системы человека, о механизме, по которому человек связан с Духовным миром, как действует в нас Слово-Логос, как очищать себя Его энергиями, как улучшить свой биологический год...."
30146,Генрих Ужегов: Болезни щитовидной железы,Ужегов Генрих Николаевич,Диля,2009,5-8174-0146-0,https://img4.labirint.ru/rc/fe2289d352122c296307f288b67727b4/220x340/books4/30146/cover.jpg?1280394613,"Щитовидная железа играет важнейшую роль в жизнедеятельности человеческого организма. Малейшие сбои в ее работе приводят к самым серьезным, а порой и необратимым последствиям. В данной книге простым и доступным языком описаны основные Болезни щитовидной железы, собрано все лучшее, что есть в народной медицине для их профилактики и лечения."
30155,Константин Борисов: Телохранители: Дорога мести,Борисов Константин,Диля,2003,5-8174-0373-0,https://img3.labirint.ru/rc/cc556916f5265971f5576ed4ffb7e89a/220x340/books4/30155/cover.jpg,"Предлагается вашему вниманию, первый роман трилогии ""Телохранители"", - космическая опера, продолжающая, и впитавшая в себя лучшие традиции таких мастеров жанра, как Пол Андерсон и Андре Нортон. ...Далекие миры, молодые и старые расы, таинственные цивилизации, розыски легендарной библиотеки, схватки не на жизнь а на смерть, - все это на страницах этой книги."
30159,"Кодзаев, Масленников: Боли в спине",Кодзаев Юрий,Диля,2002,5-88503-051-0,https://img3.labirint.ru/rc/38e194c58b775e1cb9a80e673c2424be/220x340/books4/30159/cover.jpg,
30167,Ая Думова: Мир внутри и вокруг нас,Думова Ая,Диля,2003,5-8174-0342-0,https://img3.labirint.ru/rc/850ae803d147eb31a20218d50474d2e5/220x340/books4/30167/cover.jpg,
30177,"Савинов, Павлова: Пиявка лечит все",Савинов Владимир,Диля,2015,978-5-8174-0349-7,https://img3.labirint.ru/rc/1bd95d3eda91e306a8acc404e0f912e5/220x340/books4/30177/cover.jpg?1563625542,"Книга народного целителя, президента Ассоциации гирудотерапевтов России, канд. мед. наук В. А. Савинова и народной целительницы, члена Московского альянса гирудотерапевтов Т. В. Павловой посвящена не просто эффективному методу лечения различных заболеваний с помощью обыкновенной пиявки. Авторы рассматривают болезни человека как энергетические нарушения его биополя и находят им место среди наиболее насущных проблем современной цивилизации, в том числе нравственного и духовного кризиса. Главная цель книги - показать, каким образом крошечное существо может оказывать помощь людям при любых заболеваниях и даже способствовать возрождению духовности.Книга рассчитана на широкий круг читателей.2-е издание, дополненное и переработанное."
30186,Валерий Ерофеев: Советы колдуна-целителя,Ерофеев Валерий,Диля,2002,5-88503-069-3,https://img4.labirint.ru/rc/eb6acbdc061a52b454ba94e51c9801c3/220x340/books4/30186/cover.jpg?1449718839,"В книге приводятся совершенно новые методы и способы исцеления. Знания, которые изложены в этом труде, редкостны и уникальны, так как способны давать мистическую силу. В книге раскрываются многие тайны медицинской эзотерики и описываются специфические методы воздействия на сознание и здоровье людей. Впервые приведены шифры-коды для постоянной связи с основными эгрегорами Вселенной, даются советы и описываются способы избавления от колдовских чар, супероригинальные рецепты для женщин и их детей, а также методы лечения при помощи чистки желудка, перенесения заболеваний на рыбу, растения или деревья. В книге приводятся совершенно новые способы исцеления, которыми при желании может овладеть каждый внимательный читатель, серьезно интересующийся данной тематикой. Книга для широкого круга читателей и предназначена только для индивидуального пользования."
30191,Весельчак Ходжа Насреддин,,Диля,2002,5-88503-050-2,https://img3.labirint.ru/rc/8e0d3f99b568f522952857adfd0f14eb/220x340/books4/30191/cover.jpg,"Популярность анекдотов о Ходжи Насреддине поистине безгранична. Его выходки или изречения известны во всем мире, и упоминание его имени всегда вызывает смех. Разрозненные анекдоты, повторяющие проделки Ходжи, встречаются и на Востоке, и на Западе. Таким образом, переходя за границы времен и территорий, анекдоты становятся достоянием всех народов."
30200,"Сергей Хольнов: Искусство восприятия, или Человек без формы",Хольнов Сергей,Диля,2003,5-7345-0258-8,https://img4.labirint.ru/rc/b67fa7dae3b903bb3e86e893580b4486/220x340/books4/30200/cover.jpg,
30204,"Борис Сон: Мать и дитя, сглаз и порча",Сон Борис,Диля,2003,5-7345-0265-0,https://img4.labirint.ru/rc/6040f707785f402e0f0871e0335515b7/220x340/books4/30204/cover.jpg?1449718844,"Книга посвящена трем темам: Материнству, космосу детства и духовному просвещению. Все эти темы перекликаются между собой. Данная книга не является учебником по медицине. Все рекомендации должны быть согласованы с лечащим врачом."
30208,"Рашид Марданов: Бог, бессмертие и парапсихология",Марданов Рашид,Диля,2001,5-8174-0267-x,https://img4.labirint.ru/rc/3f50dce76ddebda29348905555e990c6/220x340/books4/30208/cover.jpg,"Прежде чем покинуть этот мир, названный ""лучшим из всех возможных миров"", человек должен ответить самому себе на ряд вопросов: кто он есть? откуда пришел? куда идет? каково его предназначение в этом мире? в чем смысл его жизни? что такое жизнь? что такое смерть? есть ли на свете Бог? Эта во многих отношениях необычная книга может стать ориентиром для тех, кто, блуждая в поисках истины, пытается найти ответы на ""вечные"" вопросы человечества."
30214,Владимир Судаков: Спаситель-2. Теория и практика реального гуманизима  Григория Грабового,Судаков Владимир,Диля,2003,5-93127-219-4,https://img4.labirint.ru/rc/40e5f0b5a1172161f58772c7ccc2c4d4/220x340/books4/30214/cover.jpg?1449718847,"Новая книга В. Судакова ""Спаситель-2"" является продолжением и своего рода комментарием к основопологающим труда академика, в которых подробно исследуются практические аспекты иммортологии - науки о бессмертии."
30219,Николай Уваров: Теща моя.... И в шутку и всерьез,Уваров Николай Владимирович,Диля,2000,5-8174-0075-8,https://img3.labirint.ru/rc/9c25c0e2fcfa4a0a2916a6a0f59a880c/220x340/books4/30219/cover.jpg,
30227,Т.А. Скоромец: Черепно-мозговые травмы,Скоромец Т.А.,Диля,2001,5-8174-0237-8,https://img3.labirint.ru/rc/16fb042268630f4f99190902d0ef6b57/220x340/books4/30227/cover.jpg,"Что делать, если вы или ваши близкие получили травму головы, например, попав в аварию? Как оказать первую помощь, как лечиться потом? На эти и многие другие вопросы читатель найдет ответы в этой книге. Прочитав ее, вы уже будете знать, как после ушиба головы правильно вести себя, следовать врачебным рекомендациям, чтобы избежать тяжелых осложнений."
30228,З. Османов: Аппендицит,Османов З.,Диля,2001,5-8174-0258-0,https://img4.labirint.ru/rc/b84ae0ead4805512cf5b908daf15920b/220x340/books4/30228/cover.jpg,
30235,Л. Обливанова: Современные контрацептивные средства,Обливанова Л.,Диля,2002,5-8174-0280-7,https://img3.labirint.ru/rc/5b844abc3d605657002f49b58f312c2e/220x340/books4/30235/cover.jpg,"В книге дана исчерпывающая информация о способах предохранения от нежелательной беременности. Читательницы найдут здесь ответы на все интересующие их вопросы. Книга реально поможет в выборе наиболее подходящего противозачаточного средства, избавит от тяжелых раздумий, связанных с важной, но деликатной проблемой."
30238,ВУЗы Санкт-Петербурга. Справочник 2003-2004,,Диля,2003,5-8174-0335-8,https://img4.labirint.ru/rc/0214a834a5e44a61e930edfe503a1f50/220x340/books4/30238/cover.jpg,
30242,Юрий Ким: Рис и напиток здоровья Гамди-Сари,Ким Юрий,Диля,2002,5-88503-048-0,https://img4.labirint.ru/rc/4649e6f2b6053ddd115a93119b4d60c8/220x340/books4/30242/cover.jpg,"Целью этой книги является знакомство российского читателя с полезной во всех отношениях зерновой культурой - рисом. Особое внимание уделено целительным свойствам риса. Помимо этого, книга расширит ваши кулинарные знания о рисе, поможет наполнить стол разнообразным набором вкусных рисовых блюд и напитков."
30248,Джим Ламмерс: Maya 4.5: Учебный курс (+ CD),Ламмерс Джим,Питер,2003,5-94723-573-0,https://img4.labirint.ru/rc/f025d64b1769c2ba7bab4e8afc1859af/220x340/books4/30248/cover.jpg,"Эта книга посвящена последней версии одной из самых популярных на сегодняшний день программы для создания трехмерной графики и анимации. Книга предназначена для начинающих пользователей. К книге прилагается компакт-диск, на котором собраны файлы, созданные профиссиональными аниматорами."
30254,"Евгений Щадилов: Дача - вылечит, дача - исцелит/Энциклопедия",Щадилов Евгений Владимирович,Питер,2003,5-94723-642-7,https://img4.labirint.ru/rc/0fa38e3c57d30642e0a495cf88fbc7bb/220x340/books4/30254/cover.jpg,
30261,Валентин Холмогоров: Компьютерная сеть своими руками. Самоучитель,Холмогоров Валентин,Питер,2003,5-94723-646-X,https://img3.labirint.ru/rc/39e103e08a9803693de1a4ea38e992f9/220x340/books4/30261/cover.jpg,"Эта книга посвящена рассмотрению наиболее популярного в нашей стране стандарта организации локальных сетей - Ethernet. Безусловно. охватить в рамках такого небольшого издания все аспекты проектирования и администрирования локальных сетей невозможно, однако настоящий самоучитель содержит именно тот необходимый объем информации, который позволит вам самостоятельно спроектировать и настроить небольшую локальную сеть."
30271,Александр Райченко: Прикладная организация,Райченко Александр Васильевич,Питер,2003,5-94723-528-5,https://img3.labirint.ru/rc/6a54d899f2508e88d78b547c5352c30e/220x340/books4/30271/cover.jpg,
30274,Александр Левин: Самоучитель компьютерной графики и звука,Левин Александр Шлемович,Питер,2003,5-94723-704-0,https://img4.labirint.ru/rc/9c317d042158e118a98920b7574de997/220x340/books4/30274/cover.jpg,"Эта книга посвящена графическим и музыкальным программам. В первой части изложены основные способы работы с самыми популярными графическими проектами  Adobe Photoshop (версий 6.0 и 7.0)  CorelDraw (вессий 9, 10 и 11). Во второй части речь идет о мощном звуковом редакторе Sound Forge (4.5, 5.0, 6.0), о многодорожечной программе для создания музыкальных композиций Cakewalk Sonar XL 2.2 о способах обработки звука. Подробно рассмотрена работа с програмными синтезаторами и сэмплерами."
30283,Стены,,Диля,2004,5-88503-137-1,https://img3.labirint.ru/rc/d3d399aa61cba0d95becf15263fcd2fd/220x340/books4/30283/cover.jpg?1280394613,"Данная книга посвящена первооснове вашего дома - стенам. Как перепланировать квартиру, как отремантировать и отделать Стены, что выбрать окраску, обои или разнообразные покрытия, советы по дизайну и многое другое. Все это поможет вам при выполнении ремонта."
30287,Виктор Пасько: Эффективная работа в Интернете,Пасько Виктор,Питер,2003,5-94723-658-3,https://img3.labirint.ru/rc/b8733b710709e36ff82f9524534ac744/220x340/books4/30287/cover.jpg,"В книге содержится подробная информация о принципах работы и возможностях Интернета. Описаны методы подключения к Сети, работа с электронной почтой и браузером, чатами и конференциями; рассказано, как создать веб-страницу и веб-узел, как работать с графикой, анимацией и звуком в Сети. Книга адресована всем, кто хочет разобраться в вопросах, связанных с работой в Интернете, и научиться продуктивно использовать его многочисленные возможности."
30296,Евгений Гуляковский: Зона захвата,Гуляковский Евгений Яковлевич,Эксмо-Пресс,2003,5-699-03817-5,https://img4.labirint.ru/rc/c8d0fe9da0ecfc33f51362932daef0d6/220x340/books4/30296/cover.jpg,
30313,"Алексей Толстой: Похождения Невзорова, или Ибикус",Толстой Алексей Николаевич,Лимбус-Пресс,2001,5-8370-0133-6,https://img3.labirint.ru/rc/ed64dfda8f30a09994a97b8cf60848ec/220x340/books4/30313/cover.jpg?1449718851,"Увлекательно описанные приключения скромного служащего, волею судеб оказавшегося в водовороте гражданской войны: карты, роковые женщины, наркотики, хитроумные торговые операции, мистика..."
30323,Лев Толстой: Избранное,Толстой Лев Николаевич,Лимбус-Пресс,2000,5-8370-0251-0,https://img3.labirint.ru/rc/aa132028807f01a8ae2df02e5cfa7133/220x340/books4/30323/cover.jpg?1563625551,"В том ""Избранного"" великого русского писателя вошли наиболее известные из его рассказов и повестей.Книга составлена с учетом требований школьной программы."
30327,Филип Рот: Случай портного,Рот Филип,Лимбус-Пресс,2003,5-8370-0025-9,https://img3.labirint.ru/rc/f6640c52752b5826a15f0f7ff474479d/220x340/books4/30327/cover.jpg?1449718855,"Блестящий новый перевод эротического романа всемирно известного американского писателя Филипа Рота, увлекательно и остроумно повествующего о сексуальных приключениях молодого человека - от маминой спальни до кушетки психоаналитика."
30337,Михаил Кононов: Голая пионерка,Кононов Михаил,Лимбус-Пресс,2005,5-8370-0135-2,https://img3.labirint.ru/rc/359c87c823b3162e247474f42fd3623a/220x340/books4/30337/cover.jpg?1449718857,"Батально-эротическая феерия, о восьми главах огнедышащих, с бодрой войной и гордой блокадой, с чистой любовью и грязным сексом, с громом психопропедевтических выстрелов генерала Зукова в упор и навскидку, а также зафиксированным явлением Пресвятой Богородицы и стратегическими полетами АБСОЛЮТНО ГОЛОЙ ПИОНЕРКИ!"
30339,"Эргали Гер: Сказки по телефону. Повесть, рассказы",Гер Эргали Эргалиевич,Лимбус-Пресс,1999,5-8370-0201-4,https://img3.labirint.ru/rc/e958ab0e13f75789b2aca89204074f26/220x340/books38/371745/cover.jpg?1563698861,"Впервые имя Эргали Гера широко прозвучало в конце восьмидесятых, когда в рижском журнале ""Родник"" (пожалуй, самом интересном журнале тех лет) был опубликован его рассказ ""Электрическая Лиза"". Потом был ""Казюкас"" в ""Знамени"", получивший премию как лучший рассказ года. И вот наконец увидела свет первая книга автора. ""Сказки по телефону"" - это лучший современный триллер, читается на одном дыхании, он написан классно, мастерски, на высочайшем литературном уровне. Рассказы, дополняющие эту книгу, остроумны, динамичны, эротичны и пронзительны одновременно.В тексте сохранена пунктуация автора."
30340,Владимир Березин: Свидетель,Березин Владимир Сергеевич,Лимбус-Пресс,2001,5-8370-0155-7,https://img4.labirint.ru/rc/4b01074f06ca099f792549c54239ef9d/220x340/books4/30340/cover.jpg?1563625556,"Война - современная, бессмысленная и беспощадная война, которой занимаются все, перемещение в пространстве и внутри себя, смещение географических координат и неожиданное притяжение детали, - книга В. Березина ""Свидетель"" представляет новейшую русскую прозу."
30347,"Борис Брик: Одинокое дерево. Избранные переводы, стихи",Брик Борис,Лимбус-Пресс,2003,5-8370-0020-8,https://img3.labirint.ru/rc/88ea35242dd7a894c66ca572715e45ac/220x340/books4/30347/cover.jpg?1563625557,"Петербургского поэта-переводчика Бориса Брика (1904-1942), расстрелянного в Сибири по постановлению Особого совещания при НКВД СССР, вычернули не только из жизни, но и из литературы. Его переводы выходили под чужой фамилией или вообще без подписи. О нем прочно забыли и читатели, и даже соратники-переводчики."
30353,Виктор Топоров: Похороны Гулливера в стране лилипутов,Топоров Виктор Леонидович,Лимбус-Пресс,2002,5-8370-0010-0,https://img3.labirint.ru/rc/204096989bc0c604abb27a8b0c1dd994/220x340/books4/30353/cover.jpg?1449718858,"""Беда наша не в том, что есть такой Топоров, и даже не в том, что он пишет. Беда в том, что нет другого Топорова, который объяснил бы, что все написанное Топоровым неверно"", - из выступления Б. Стругацкого.Можно только посочувствовать. А второго Топорова так и не появилось - не то бы все сразу об этом узнали."
30359,"Борис Федоров: Петр Столыпин: ""Я верю в Россию"" т.2",Федоров Борис,Лимбус-Пресс,2002,5-8370-0174-3,https://img3.labirint.ru/rc/e181d319003b3b0dd219717eaf97017a/220x340/books4/30359/cover.jpg,
30364,"Гаррос, Евдокимов: [голово]ломка: Роман",Гаррос Александр Петрович,Лимбус-Пресс,2003,5-8370-0067-4,https://img4.labirint.ru/rc/b4b67d31c6ad89ab2f35e6c0e9b3fefa/220x340/books4/30364/cover.jpg?1280394613,"Что это: история того, как мелкий банковский пиар-менеджер превращается в безжалостного супермена? Или - история обыкновенного безумия? Или - история конца света, наступающего для отдельно взятого человека? Или, может быть, пересказ модной компьютерной игры? Это - [голово]ломка: шокирующая литературная провокация, крепко замешанная на жестком триллерном сюжете."
30370,Мировая скульптура,,Кристалл,2003,5-306-00320-6,https://img4.labirint.ru/rc/3fffcfd071f93820f5687acbe0b3a251/220x340/books4/30370/cover.jpg?1280394613,"Книга посвящена одному из древнейших видов изобразительного искусства - скульптуре. Она знакомит читателя с основными этапами ее развития, от Древнего Египта до наших дней, особенностями основных направлений и стилей. Богатый иллюстрированный материал представленный в хронологической последовательности, дает возможность проследить, как исторические условия влияли на содержание и художественный язык скульптуры."
30375,Пер Петтерсон: В Сибирь!,Петтерсон Пер,Лимбус-Пресс,2001,5-8370-0164-6,https://img3.labirint.ru/rc/9432d3b0055905e160e5bc34fd6a6ea2/220x340/books4/30375/cover.jpg?1449718865,"Весь мир тюрьма, а Дания - одно из самых худших ее подземелий, горько заметил Гамлет. Так ли это? Датская девочка, девушка, потом зрелая женщина, от лица которой ведет повествование знаменитый скандинавский писатель, таит наивную мечту перебраться из Дании... в Сибирь."
